Date,Open,High,Low,Close,Adj Close,Volume
2014-09-08,66.370003,66.480003,64.800003,65.160004,56.173668,9321700
2014-09-15,64.800003,65.919998,63.060001,63.310001,54.578804,11056500
2014-09-22,62.189999,62.590000,59.599998,59.830002,51.578739,16954100
2014-09-29,58.860001,59.389999,56.810001,57.230000,49.337311,19761000
2014-10-06,58.400002,59.090000,55.590000,55.730000,48.044174,23329700
2014-10-13,57.340000,59.430000,56.980000,59.040001,50.897690,18625300
2014-10-20,58.830002,60.169998,58.650002,59.139999,50.983898,10171200
2014-10-27,58.610001,60.029999,58.130001,59.439999,51.242523,10702800
2014-11-03,59.450001,60.299999,57.930000,59.880001,51.621841,11414700
2014-11-10,60.220001,60.330002,56.990002,58.430000,50.371815,11750300
2014-11-17,58.520000,58.520000,54.349998,57.340000,49.432140,14282000
2014-11-24,56.939999,57.049999,51.570000,51.630001,44.509621,9929900
2014-12-01,50.959999,52.160000,50.099998,50.380001,43.432003,13851200
2014-12-08,49.740002,49.820000,46.080002,46.180000,39.811237,19783100
2014-12-15,45.669998,48.540001,44.900002,48.389999,41.716450,24597000
2014-12-22,48.240002,48.310001,46.560001,47.529999,40.975052,8852500
2014-12-29,48.259998,48.730000,47.090000,47.540001,40.983673,7520200
2015-01-05,46.119999,47.279999,45.259998,46.930000,40.457802,14092600
2015-01-12,46.099998,46.330002,42.919998,46.139999,39.776749,20373800
2015-01-19,45.669998,47.619999,45.419998,45.500000,39.225018,14163900
2015-01-26,45.450001,46.820000,44.939999,46.330002,39.940548,13349900
2015-02-02,46.959999,50.080002,46.599998,48.290001,41.630241,21118300
2015-02-09,48.750000,51.590000,47.119999,51.189999,44.130295,12930300
2015-02-16,51.169998,51.610001,50.220001,50.480000,43.518211,9765500
2015-02-23,49.820000,52.980000,49.259998,52.520000,45.276875,12130700
2015-03-02,52.240002,52.580002,49.200001,49.349998,42.544052,11796700
2015-03-09,49.639999,49.740002,44.070000,44.549999,38.406029,13057500
2015-03-16,44.910000,48.590000,44.570000,48.060001,42.543743,14510200
2015-03-23,49.310001,49.820000,46.950001,47.099998,41.693932,11059500
2015-03-30,47.119999,47.430000,44.970001,45.560001,40.330696,9691200
2015-04-06,45.959999,47.779999,45.630001,45.820000,40.560852,8811500
2015-04-13,44.750000,47.230000,43.830002,46.439999,41.109684,15713800
2015-04-20,46.500000,51.150002,46.029999,51.040001,45.181705,11415700
2015-04-27,50.730000,52.459999,50.450001,51.919998,45.960701,11865700
2015-05-04,52.200001,52.340000,49.549999,50.799999,44.969257,12984000
2015-05-11,50.840000,52.430000,50.799999,51.549999,45.633167,9567800
2015-05-18,48.799999,48.900002,45.650002,45.869999,40.605110,10252100
2015-05-25,45.599998,45.830002,44.119999,44.630001,39.507435,8615900
2015-06-01,44.580002,45.240002,42.509998,42.910000,37.984852,9699000
2015-06-08,42.840000,43.919998,42.150002,43.299999,38.330093,10357000
2015-06-15,42.790001,45.060001,42.610001,43.810001,38.781555,7174500
2015-06-22,44.270000,44.950001,42.410000,42.689999,37.790104,9121600
2015-06-29,41.959999,42.410000,40.340000,41.290001,36.550800,9327100
2015-07-06,41.290001,41.290001,37.060001,39.470001,34.939697,18559700
2015-07-13,39.770000,41.009998,38.980000,39.560001,35.019371,14031300
2015-07-20,39.360001,40.150002,35.790001,36.299999,32.133537,15709600
2015-07-27,36.500000,39.240002,36.130001,38.369999,33.965950,12888300
2015-08-03,37.509998,40.029999,37.080002,38.639999,34.204956,12661300
2015-08-10,38.330002,39.730000,37.060001,37.880001,33.532192,15331200
2015-08-17,37.099998,37.209999,34.639999,34.680000,30.699480,14234200
