,날짜,철광석_가격,전기동 [LME] 3개월(o)USD/ton,알루미늄 [LME] 3개월(o)USD/ton,니켈 [LME] 3개월(o)USD/ton,아연 [LME] 3개월(o)USD/ton,납 [LME] 3개월(o)USD/ton,주석 [LME] 3개월(o)USD/ton,BHP_close,RIO_close,VALE_close,PDS.원자재.지수,USD.CNY..미국.달러...중국.인민폐.,USD.BRL..미국.달러...브라질.레알.,AUD.USD..호주.달러...미국.달러.,inventory.index,WTI [CME(NYMEX)] 2018.08USD/bbl(barrel),브렌트유 [ICE] 2018.09USD/bbl(barrel),철근 [SHFE] 2018.10RMB/ton,선재 [SHFE] 2018.10RMB/ton
155,2017-12-18,74.02,6955.4,2108.6,11885,3216.4,2525.7,19313,45,51.09,11.92,112.61,6.59,3.31,0.77,145.37,57.94,64.38,3846.2,3121
156,2017-12-25,73.77,7208.5,2239,12130,3279.83,2508.33,19726.67,45.99,52.93,12.23,114.3,6.54,3.32,0.78,146.55,59.97,66.37,3807,3121
157,2018-01-01,75.49,7195.25,2247.38,12610,3351.5,2565.88,19970,48.14,54.54,13.09,116.09,6.5,3.25,0.78,149.23,61.36,67.53,3822.25,3121
158,2018-01-08,78.33,7144.4,2188.6,12717,3376.2,2565.7,20086,50.69,57.67,13.53,117.45,6.5,3.23,0.79,151.97,63.27,68.99,3817.2,3121
159,2018-01-15,75.69,7114.8,2215.9,12589,3404,2577.2,20442,49.65,56.05,13.36,118.63,6.43,3.21,0.8,153.61,63.74,69.33,3828,3121
160,2018-01-22,75.47,7056.8,2231.8,13215,3432.1,2611.5,21039,50,56.31,13.11,119.94,6.36,3.18,0.8,151.82,65.06,70.09,3934.8,3121
161,2018-01-29,73.5,7103.5,2229.7,13650,3534.6,2638.8,21772,47.83,54.33,12.54,120.29,6.31,3.18,0.8,151.43,65.21,68.97,3935.2,3121
162,2018-02-05,76.54,6985.8,2176.8,13309,3454.7,2574.9,21536,45.76,53.72,12.91,117.75,6.29,3.27,0.78,152.38,61.94,65.52,3938.4,3121
163,2018-02-12,77.61,7017,2150,13639,3495.9,2567.6,21500,48.69,57.82,14.12,113.67,6.34,3.25,0.79,155.97,60.39,63.77,3919.33,3121
164,2018-02-19,78.51,7088.4,2190.9,13681,3531.8,2559.6,21524,48.3,57.07,14.2,115.42,6.34,3.25,0.79,157.765,62.45,66.01,3889.5,3121
165,2018-02-26,79.13,7001.7,2147,13750,3460.4,2524.2,21601,45.43,51.48,13.39,116.03,6.33,3.25,0.78,159.56,62.16,65.35,4015.6,3121
166,2018-03-05,74.45,6901,2126.1,13409,3274.5,2403.6,21427,45.28,52.07,12.89,114.86,6.33,3.24,0.78,158.32,61.7,64.95,3892.8,3121
167,2018-03-12,70.66,6949.8,2102.1,13833,3265.3,2399.4,21114,45.42,52.58,12.8,114.15,6.32,3.27,0.78,159.73,61.31,65.16,3724.6,3123
168,2018-03-19,66.68,6768.4,2084.5,13380,3232.2,2364.7,20809,44,50.51,12.51,114.81,6.33,3.3,0.77,161.35,64.2,68.46,3608.2,3030.2
169,2018-03-26,64.21,6650,2036.75,13050,3285.13,2394.75,20928.75,44.43,51.53,12.72,115.95,6.28,3.31,0.77,162.82,65.03,69.42,3395.4,2941
170,2018-04-02,64.05,6749.75,1998.75,13241.25,3241.13,2381,21031.25,43.64,50.55,12.66,115.63,6.3,3.34,0.77,161.16,63.1,67.84,3360,2941
171,2018-04-09,64.69,6871.8,2211.5,13693,3188.9,2368.7,21040,46.8,54.26,13.12,116.51,6.28,3.41,0.77,160.43,66.04,71.27,3404.2,2941
172,2018-04-16,65.97,6927.4,2456.2,14732,3192.8,2356.6,21366,47.7,56.6,14,119.17,6.28,3.4,0.77,159.83,67.58,72.86,3441.4,2941
173,2018-04-23,66.5,6953,2271,14111,3177.6,2335,21227,46.53,55.14,13.95,119.83,6.32,3.47,0.76,159.08,68.14,74.05,3556.4,2941
174,2018-04-30,66.43,6831.1,2279.6,13872,3075.9,2310.6,21163,48.27,55.62,14.08,120.3,6.35,3.52,0.75,160.16,68.38,73.93,3678.33,2941
175,2018-05-07,66.95,6844.63,2311.13,13911.25,3083.25,2311.88,20926.25,50.41,57.39,14.61,121.7,6.36,3.57,0.75,158.76,70.6,76.56,3628.8,2941
176,2018-05-14,67.93,6843.4,2294.6,14564,3066.8,2355.5,20776,50.81,58.41,14.58,124.83,6.37,3.68,0.75,157.56,71.31,78.75,3670.4,3743.2
177,2018-05-21,64.66,6889.8,2270.1,14699,3050.6,2439.4,20506,49.02,56.98,14.03,126.18,6.38,3.65,0.76,158.89,71,78.76,3573.8,3921
178,2018-05-28,65.29,6836,2273.13,15063.75,3098.5,2442,20603.75,50.24,57.54,14.03,124.83,6.41,3.73,0.76,160.4,66.95,76.57,3649.4,3921
179,2018-06-04,66.3,7121,2319.2,15512,3157.6,2498.9,20847,51.67,59.22,13.75,124.39,6.4,3.8,0.76,159.15,65.34,75.96,3761.6,3921
180,2018-06-11,67.37,7199.4,2276.6,15314,3184.7,2470.5,20973,48.7,56.79,13.17,124.41,6.41,3.74,0.75,157.23,66.21,75.69,3847.2,3921
181,2018-06-18,66.13,6852.8,2181.8,14975,3001.5,2414.5,20560,48.93,55.46,12.81,122.9,6.48,3.76,0.74,154.9,66.12,74.75,3789,4060
182,2018-06-25,65.23,6697.5,2164.6,14859,2884.2,2421,19919,50.009998,55.48,12.82,121.65,6.594,3.8354,0.738,155.79,71.79,77.07,3727.4,4060
183,2018-07-02,64.05,6472,2107.1,14337,2775.1,2374.2,19625,49.580002,54.650002,13.03,123.12,6.6438,3.9036,0.7385,153.42,73.71,77.39,3770.6,4060
184,2018-07-09,63.85,6253.6,2080.6,14006,2608.4,2250.6,19530,49.119999,54,13.14,122.08,6.6569,3.8595,0.7417,153.51,71.94,76.02,3886.4,4060
185,2018-07-16,64.85,6110.5,2041.6,13525,2534.5,2149.7,19443,48.48,53.84,12.93,119.23,6.7317,3.8293,0.7394,153.65,68.96,72.51,3958,4082.8
186,2018-07-23,66.23,6247.3,2076.5,13629,2589.2,2156.2,19695,50.759998,55.060001,14.44,120.14,6.7921,3.7351,0.7407,153.45,68.8,73.95,4014.6,4067
