"","날짜","철광석_가격","미국_수입량","알루미늄","전기동","연","아연","주석","니켈","BHP_close","RIO_close","VALE_close","PDS.원자재.지수","USD.CNY..미국.달러...중국.인민폐.","USD.BRL..미국.달러...브라질.레알.","AUD.USD..호주.달러...미국.달러.","inventory.index"
"67","2016-04-11","58.8","576555.1","386.875","1224.875","442.125","457.125","4258","2176","28.91","31.67","5.29","83.92","6.47","3.5","0.77","99.14"
"68","2016-04-18","64.95","549979.4","395.125","1200.625","422.375","468.875","4276","2176","31.82","33.56","5.42","85.52","6.48","3.55","0.78","99.39"
"69","2016-04-25","63.82","523403.6","403.375","1176.375","402.625","480.625","4294","2176","31.34","33.66","5.67","87.73","6.49","3.51","0.77","100.08"
"70","2016-05-02","60.51","379349.2","314.4","998.8","348.8","366.6","3478","1743.8","27.93","30.9","4.78","88.81","6.49","3.53","0.75","100.67"
"71","2016-05-09","55.08","450613.8","312.8","970.2","345.8","370.4","3413.6","1740.8","26.6","28.29","4.13","87.56","6.51","3.49","0.73","99.37"
"72","2016-05-16","55.05","521878.4","311.2","941.6","342.8","374.2","3349.2","1737.8","26.84","28.31","3.98","89.4","6.53","3.54","0.73","101.78"
"73","2016-05-23","50.72","593143","309.6","913","339.8","378","3284.8","1734.8","27.5","28.73","3.98","89.62","6.56","3.58","0.72","101.86"
"74","2016-05-30","49.42","664407.6","308","884.4","336.8","381.8","3220.4","1731.8","27.81","28.34","4.61","89.73","6.58","3.58","0.73","100.17"
"75","2016-06-06","52.27","658524.2","384.5","1186.625","428.5","448.75","4156.625","2144","26.73","27.94","4.41","91.29","6.57","3.42","0.74","100.7"
"76","2016-06-13","51.18","646171.8","393.5","1167.375","428.5","486.75","4216.375","2200.5","27.71","29.19","4.46","90.98","6.59","3.46","0.74","100.57"
"77","2016-06-20","51.34","633819.2","402.5","1148.125","428.5","524.75","4276.125","2257","27.23","28.76","4.55","90.36","6.59","3.38","0.75","102.68"
"78","2016-06-27","54.28","621466.8","411.5","1128.875","428.5","562.75","4335.875","2313.5","28.62","31.57","5.16","90.74","6.65","3.28","0.74","104.61"
"79","2016-07-04","55.66","589629.1","393.25","1129.625","413.375","485.5","4140.25","2061.625","29.34","31.59","4.95","91.02","6.68","3.32","0.75","106.57"
"80","2016-07-11","58.22","690361.9","402.75","1185.875","443.625","526","4352.25","2395.875","30.5","32.86","5.36","89.42","6.69","3.27","0.76","108.4"
"81","2016-07-18","56.33","791094.6","412.25","1242.125","473.875","566.5","4564.25","2730.125","28.55","31.35","5.31","89.03","6.69","3.26","0.75","108.84"
"82","2016-07-25","58.73","891827.4","421.75","1298.375","504.125","607","4776.25","3064.375","29.69","32.82","5.75","87.15","6.66","3.27","0.75","108.64"
"83","2016-08-01","61.22","630765.8","323.6","990.8","366.2","417.4","3450.6","2030","31.02","32.74","6.02","85.56","6.64","3.23","0.76","108.21"
"84","2016-08-08","60.47","592582.6","326","971.2","367","437","3566.6","2050.4","30.97","31.08","5.64","86.82","6.64","3.16","0.77","107.54"
"85","2016-08-15","60.96","554399.4","328.4","951.6","367.8","456.6","3682.6","2070.8","31.94","32.06","5.97","88.98","6.63","3.21","0.77","106.41"
"86","2016-08-22","61.05","516216.2","330.8","932","368.6","476.2","3798.6","2091.2","32.09","31.54","5.45","90.45","6.66","3.23","0.76","105.4"
